ID;XPATH
7@centr7-des;10.128.6.128
7@estet-des1.1;10.128.4.44
7@estet-des2.1;10.128.4.31
7@estet-des2.2;10.128.4.62
7@estet-des3.1;10.128.4.49
7@estet-des3.2;10.128.4.30
7@estet-des4.1;10.128.4.70
7@marsh-des1.3;10.128.8.41
7@rab51-des1;10.128.6.163
7@res4-des1;10.128.18.22
7@rosdom-des1;10.128.19.12
7@rp2300-des2;10.128.16.45
7@tp10-des1;10.128.6.41
7@tp11-des1;10.128.6.155
7@tp11-des2;10.128.15.43
7@tp175-des2;10.128.16.110
7@tp19-des1;10.128.6.31
7@tp217-des1;10.128.6.151
7@tp232-des1;10.128.6.120
7@tp243-des1;10.128.6.245
7@tp284-des1;10.128.16.100
7@tp529-des1;10.128.18.10
7@tp720-des1;10.128.6.49
7@tp735-des1;10.128.6.59
7@tp735-des2;10.128.6.82
7@tp740-des1;10.128.6.190
7@tp79-des1;10.128.6.185
7@tp79-des2;10.128.15.79
7@tp9-des1;10.128.15.6
7@tsj-mihail-des1;10.128.16.16
8@adm-des4.2;10.128.2.78
8@dub9-des1;10.128.16.5
8@estet-des1.1;10.128.4.46
8@estet-des2.1;10.128.4.33
8@estet-des2.2;10.128.4.64
8@estet-des3.1;10.128.4.43
8@estet-des3.2;10.128.4.34
8@marsh-des1.1;10.128.8.52
8@marsh-des1.3;10.128.8.42
8@rab51-des1;10.128.6.164
8@res4-des1;10.128.18.23
8@rosdom-des1;10.128.19.13
8@rp2300-des2;10.128.16.46
8@tp10-des1;10.128.15.48
8@tp11-des1;10.128.6.200
8@tp11-des2;10.128.15.44
8@tp145-des1;10.128.6.79
8@tp19-des1;10.128.6.23
8@tp217-des1;10.128.6.175
8@tp243-des1;10.128.16.124
8@tp244-des1;10.128.6.83
8@tp529-des1;10.128.18.11
8@tp735-des1;10.128.6.57
8@tp735-des2;10.128.6.74
8@tp740-des1;10.128.6.191
8@tp79-des1;10.128.6.6
8@tp79-des2;10.128.15.80
8@tp9-des1;10.128.6.38
8@tsj-mihail-des1;10.128.16.9
9@9sov-des2;10.128.15.221
9@dub9-des1;10.128.16.71
9@estet-des1.1;10.128.4.50
9@estet-des2.1;10.128.4.47
9@estet-des3.1;10.128.4.53
9@estet-des3.2;10.128.4.63
9@marsh-des1.3;10.128.8.46
9@rab51-des1;10.128.6.165
9@rdg-des2;37.9.135.122..126
9@rosdom-des1;10.128.19.14
9@rp2300-des2;10.128.16.47
9@tp10-des1;10.128.15.49
9@tp11-des1;10.128.6.203
9@tp11-des2;10.128.15.50
9@tp145-des1;10.128.6.202
9@tp175-des1;10.128.16.134
9@tp19-des1;10.128.6.24
9@tp217-des1;10.128.6.179
9@tp244-des1;10.128.16.12
9@tp284-des1;10.128.16.101
9@tp529-des1;10.128.18.12
9@tp720-des1;10.128.6.52
9@tp735-des1;10.128.6.55
9@tp735-des2;10.128.6.90
9@tp740-des1;10.128.6.233
9@tp79-des1;10.128.6.101
9@tp79-des2;10.128.15.81
9@tp9-des1;10.128.6.146
9@tsj-mihail-des1;10.128.16.11
